dom ; request ; size ; historical ; collinearity
1017.0 ; 49.0 ; 593.05078125 ; 49.71 ; 60.40
2233.0 ; 158.0 ; 10531.15625 ; 10.10 ; 70.17
130.0 ; 17.0 ; 2194.3037109375 ; 78.73 ; 76.20
301.0 ; 14.0 ; 650.5390625 ; 79.90 ; 54.77
35.0 ; 1.0 ; 65.8798828125 ; 96.10 ; 61.78
2270.0 ; 228.0 ; 3109.234375 ; 9.89 ; 49.78
3632.0 ; 407.0 ; 2883.1171875 ; 8.24 ; 50.77
709.0 ; 96.0 ; 661.76953125 ; 46.90 ; 47.16
711.0 ; 193.0 ; 1570.646484375 ; 33.06 ; 59.70
5077.0 ; 882.0 ; 17543.15625 ; 4.68 ; 65.83
262.0 ; 14.0 ; 1514.1171875 ; 77.07 ; 65.68
572.0 ; 67.0 ; 203.0068359375 ; 59.94 ; 59.56
242.0 ; 60.0 ; 755.2021484375 ; 72.19 ; 61.09
852.0 ; 84.0 ; 6417.734375 ; 34.05 ; 69.58
1078.0 ; 214.0 ; 4180.6455078125 ; 18.09 ; 61.93
738.0 ; 233.0 ; 4610.1181640625 ; 25.39 ; 67.90
3631.0 ; 640.0 ; 4098.15234375 ; 6.56 ; 34.47
827.0 ; 177.0 ; 3115.734375 ; 26.39 ; 60.59
3345.0 ; 45.0 ; 2311.7041015625 ; 32.18 ; 60.40
1108.0 ; 139.0 ; 7453.1640625 ; 20.47 ; 68.49
2866.0 ; 587.0 ; 14302.4931640625 ; 4.83 ; 69.93
2923.0 ; 190.0 ; 3940.2890625 ; 9.28 ; 57.78
1637.0 ; 96.0 ; 2525.541015625 ; 24.24 ; 64.30
491.0 ; 138.0 ; 28467.087890625 ; 37.69 ; 74.47
1107.0 ; 95.0 ; 943.39453125 ; 36.16 ; 46.07
1116.0 ; 316.0 ; 12453.44140625 ; 14.35 ; 70.17
2803.0 ; 158.0 ; 2421.1796875 ; 13.48 ; 39.60
73.0 ; 3.0 ; 634.16796875 ; 89.21 ; 70.57
851.0 ; 84.0 ; 1082.8798828125 ; 42.81 ; 52.10
331.0 ; 77.0 ; 624.5087890625 ; 65.54 ; 53.43
1913.0 ; 222.0 ; 1877.3115234375 ; 14.21 ; 52.54
2352.0 ; 486.0 ; 9936.9443359375 ; 5.37 ; 66.47
1930.0 ; 2.0 ; 96.40234375 ; 51.47 ; 75.60
1796.0 ; 206.0 ; 32695.755859375 ; 9.09 ; 79.65
1148.0 ; 10.0 ; 1154.55859375 ; 51.75 ; 47.90
1425.0 ; 488.0 ; 5791.2451171875 ; 11.00 ; 62.72
396.0 ; 48.0 ; 882.5029296875 ; 68.10 ; 78.72
689.0 ; 19.0 ; 662.2880859375 ; 63.69 ; 55.26
40.0 ; 5.0 ; 124.015625 ; 94.27 ; 67.90
2413.0 ; 455.0 ; 5535.583984375 ; 5.95 ; 64.79
314.0 ; 33.0 ; 1685.8642578125 ; 71.05 ; 65.68
526.0 ; 44.0 ; 1164.8857421875 ; 62.15 ; 71.36
1057.0 ; 119.0 ; 8198.7548828125 ; 23.45 ; 70.77
365.0 ; 23.0 ; 212.3232421875 ; 78.05 ; 61.09
68.0 ; 3.0 ; 73.4384765625 ; 92.58 ; 43.31
291.0 ; 74.0 ; 2476.1396484375 ; 60.25 ; 70.77
5396.0 ; 236.0 ; 14007.73046875 ; 5.95 ; 62.17
1109.0 ; 142.0 ; 7550.7119140625 ; 20.13 ; 68.49
93.0 ; 2.0 ; 85.62890625 ; 91.48 ; 61.73
1103.0 ; 124.0 ; 2222.833984375 ; 26.81 ; 54.02
3915.0 ; 586.0 ; 7458.0009765625 ; 5.04 ; 59.31
1486.0 ; 167.0 ; 1099.48046875 ; 22.52 ; 51.80
132.0 ; 69.0 ; 14835.6455078125 ; 62.68 ; 74.47
77.0 ; 8.0 ; 1444.591796875 ; 84.19 ; 79.65
781.0 ; 94.0 ; 350.5126953125 ; 46.75 ; 54.12
27.0 ; 3.0 ; 287.6708984375 ; 94.42 ; 71.31
671.0 ; 42.0 ; 932.427734375 ; 58.47 ; 55.75
1061.0 ; 358.0 ; 5734.5576171875 ; 15.99 ; 70.62
907.0 ; 88.0 ; 1877.77734375 ; 37.28 ; 54.02
27.0 ; 3.0 ; 287.125 ; 94.42 ; 71.31
570.0 ; 8.0 ; 108.837890625 ; 72.36 ; 63.06
66.0 ; 2.0 ; 176.2294921875 ; 92.32 ; 65.09
5655.0 ; 529.0 ; 17423.15625 ; 4.84 ; 68.79
156.0 ; 29.0 ; 680.095703125 ; 82.42 ; 66.47
596.0 ; 121.0 ; 2415.869140625 ; 39.88 ; 61.93
1219.0 ; 38.0 ; 1531.7265625 ; 44.10 ; 52.00
2036.0 ; 112.0 ; 13748.2060546875 ; 15.64 ; 66.17
1867.0 ; 41.0 ; 916.1650390625 ; 40.92 ; 59.65
2395.0 ; 627.0 ; 13282.865234375 ; 5.13 ; 67.06
2040.0 ; 809.0 ; 5903.796875 ; 7.05 ; 58.96
1667.0 ; 38.0 ; 849.146484375 ; 43.13 ; 59.65
767.0 ; 125.0 ; 2034.76171875 ; 34.76 ; 67.46
433.0 ; 7.0 ; 46.1337890625 ; 78.42 ; 70.52
1075.0 ; 183.0 ; 660.783203125 ; 29.25 ; 51.95
1299.0 ; 134.0 ; 3098.431640625 ; 21.05 ; 67.75
1340.0 ; 382.0 ; 2237.099609375 ; 16.05 ; 59.41
904.0 ; 33.0 ; 440.0302734375 ; 56.45 ; 66.32
60.0 ; 15.0 ; 295.69140625 ; 90.62 ; 74.47
1166.0 ; 277.0 ; 11956.228515625 ; 13.68 ; 70.17
1801.0 ; 46.0 ; 2655.8369140625 ; 33.65 ; 52.99
1147.0 ; 293.0 ; 577.3984375 ; 25.86 ; 59.80
957.0 ; 115.0 ; 3169.140625 ; 28.82 ; 65.88
1101.0 ; 129.0 ; 4794.3974609375 ; 22.65 ; 70.17
153.0 ; 64.0 ; 19453.5546875 ; 63.23 ; 74.47
1023.0 ; 131.0 ; 394.2568359375 ; 35.56 ; 58.81
726.0 ; 14.0 ; 321.619140625 ; 65.14 ; 55.06
