dom ; request ; size ; historical ; distance
1017 ; 49 ; 593.05 ; 49.71 ; 94.59
301 ; 14 ; 650.54 ; 79.90 ; 98.00
709 ; 96 ; 661.77 ; 46.90 ; 96.30
711 ; 193 ; 1570.65 ; 33.06 ; 88.28
262 ; 14 ; 1514.12 ; 77.07 ; 90.80
572 ; 67 ; 203.01 ; 59.94 ; 98.55
242 ; 60 ; 755.20 ; 72.19 ; 97.54
827 ; 177 ; 3115.73 ; 26.39 ; 59.40
1107 ; 95 ; 943.39 ; 36.16 ; 91.72
851 ; 84 ; 1082.88 ; 42.81 ; 92.58
331 ; 77 ; 624.51 ; 65.54 ; 98.03
396 ; 48 ; 882.50 ; 68.10 ; 96.35
689 ; 19 ; 662.29 ; 63.69 ; 96.44
314 ; 33 ; 1685.86 ; 71.05 ; 88.54
526 ; 44 ; 1164.89 ; 62.15 ; 93.63
365 ; 23 ; 212.32 ; 78.05 ; 99.30
68 ; 3 ; 73.44 ; 92.58 ; 99.96
93 ; 2 ; 85.63 ; 91.48 ; 99.94
1103 ; 124 ; 2222.83 ; 26.81 ; 75.95
781 ; 94 ; 350.51 ; 46.75 ; 97.11
671 ; 42 ; 932.43 ; 58.47 ; 94.85
907 ; 88 ; 1877.78 ; 37.28 ; 83.03
570 ; 8 ; 108.84 ; 72.36 ; 98.69
156 ; 29 ; 680.10 ; 82.42 ; 98.10
596 ; 121 ; 2415.87 ; 39.88 ; 75.82
1219 ; 38 ; 1531.73 ; 44.10 ; 85.07
767 ; 125 ; 2034.76 ; 34.76 ; 81.52
433 ; 7 ; 46.13 ; 78.42 ; 99.26
1299 ; 134 ; 3098.43 ; 21.05 ; 55.96
904 ; 33 ; 440.03 ; 56.45 ; 96.06
957 ; 115 ; 3169.14 ; 28.82 ; 57.26
726 ; 14 ; 321.62 ; 65.14 ; 97.54
508 ; 50 ; 808.47 ; 63.32 ; 96.44
228 ; 14 ; 657.54 ; 82.66 ; 98.11
240 ; 1 ; 100.34 ; 87.49 ; 99.74
933 ; 96 ; 3684.31 ; 31.57 ; 43.70
480 ; 22 ; 2808.73 ; 62.96 ; 68.37
509 ; 38 ; 2071.38 ; 60.54 ; 82.27
636 ; 114 ; 618.16 ; 46.83 ; 96.89
152 ; 37 ; 721.51 ; 80.76 ; 97.88
1047 ; 56 ; 1471.09 ; 42.98 ; 87.29
1319 ; 126 ; 2727.33 ; 22.38 ; 64.19
58 ; 12 ; 122.64 ; 92.03 ; 99.93
96 ; 13 ; 56.17 ; 90.15 ; 99.95
466 ; 82 ; 1278.51 ; 55.37 ; 92.76
871 ; 51 ; 2083.10 ; 45.72 ; 80.13
167 ; 47 ; 67.08 ; 81.49 ; 99.87
682 ; 133 ; 1975.54 ; 36.64 ; 82.92
434 ; 28 ; 581.11 ; 72.34 ; 97.95
362 ; 20 ; 87.40 ; 79.33 ; 99.46
425 ; 109 ; 2398.86 ; 48.45 ; 76.83
446 ; 47 ; 756.96 ; 66.90 ; 96.98
96 ; 13 ; 56.16 ; 90.15 ; 99.95
96 ; 13 ; 56.21 ; 90.15 ; 99.95
349 ; 108 ; 2760.24 ; 51.01 ; 69.80
92 ; 12 ; 55.62 ; 90.40 ; 99.95
710 ; 48 ; 1040.96 ; 55.24 ; 93.81
96 ; 13 ; 56.22 ; 90.15 ; 99.95
315 ; 6 ; 43.73 ; 83.54 ; 99.61
96 ; 13 ; 56.18 ; 90.15 ; 99.95
62 ; 6 ; 60.77 ; 92.81 ; 99.97
115 ; 30 ; 552.21 ; 84.15 ; 98.76
96 ; 13 ; 56.20 ; 90.15 ; 99.95
418 ; 114 ; 1044.73 ; 53.16 ; 95.02
79 ; 8 ; 30.05 ; 91.45 ; 99.97
96 ; 13 ; 56.18 ; 90.15 ; 99.95
687 ; 134 ; 1962.55 ; 36.43 ; 83.09
47 ; 18 ; 59.33 ; 92.50 ; 99.98
993 ; 113 ; 573.98 ; 37.51 ; 94.83
47 ; 18 ; 59.33 ; 92.50 ; 99.98
947 ; 17 ; 646.12 ; 57.14 ; 94.88
113 ; 3 ; 127.45 ; 90.51 ; 99.89
813 ; 27 ; 495.58 ; 59.54 ; 96.47
96 ; 13 ; 56.21 ; 90.15 ; 99.95
1064 ; 35 ; 944.57 ; 50.00 ; 92.11
