dom ; request ; size ; historical ; lsh_knn
1017.0 ; 49.0 ; 593.0508 ; 49.71 ; 58.43
2233.0 ; 158.0 ; 10531.156 ; 10.10 ; 69.83
130.0 ; 17.0 ; 2194.3037 ; 78.73 ; 71.47
301.0 ; 14.0 ; 650.53906 ; 79.90 ; 63.50
35.0 ; 1.0 ; 65.87988 ; 96.10 ; 61.97
2270.0 ; 228.0 ; 3109.2344 ; 9.89 ; 54.23
3632.0 ; 407.0 ; 2883.1172 ; 8.24 ; 51.87
709.0 ; 96.0 ; 661.76953 ; 46.90 ; 47.96
711.0 ; 193.0 ; 1570.6465 ; 33.06 ; 60.44
5077.0 ; 882.0 ; 17543.156 ; 4.68 ; 66.32
262.0 ; 14.0 ; 1514.1172 ; 77.07 ; 68.60
572.0 ; 67.0 ; 203.00684 ; 59.94 ; 63.09
242.0 ; 60.0 ; 755.20215 ; 72.19 ; 64.77
852.0 ; 84.0 ; 6417.7344 ; 34.05 ; 70.89
1078.0 ; 214.0 ; 4180.6455 ; 18.09 ; 67.29
738.0 ; 233.0 ; 4610.118 ; 25.39 ; 69.74
3631.0 ; 640.0 ; 4098.1523 ; 6.56 ; 48.29
827.0 ; 177.0 ; 3115.7344 ; 26.39 ; 66.63
3345.0 ; 45.0 ; 2311.704 ; 32.18 ; 57.81
1108.0 ; 139.0 ; 7453.164 ; 20.47 ; 70.54
2866.0 ; 587.0 ; 14302.493 ; 4.83 ; 68.89
2923.0 ; 190.0 ; 3940.289 ; 9.28 ; 55.37
1637.0 ; 96.0 ; 2525.541 ; 24.24 ; 57.54
491.0 ; 138.0 ; 28467.088 ; 37.69 ; 73.54
1107.0 ; 95.0 ; 943.39453 ; 36.16 ; 51.29
1116.0 ; 316.0 ; 12453.441 ; 14.35 ; 71.79
2803.0 ; 158.0 ; 2421.1797 ; 13.48 ; 52.68
73.0 ; 3.0 ; 634.16797 ; 89.21 ; 69.87
851.0 ; 84.0 ; 1082.8799 ; 42.81 ; 52.81
331.0 ; 77.0 ; 624.5088 ; 65.54 ; 58.77
1913.0 ; 222.0 ; 1877.3115 ; 14.21 ; 47.16
2352.0 ; 486.0 ; 9936.944 ; 5.37 ; 68.15
1930.0 ; 2.0 ; 96.40234 ; 51.47 ; 71.54
1796.0 ; 206.0 ; 32695.756 ; 9.09 ; 71.79
1148.0 ; 10.0 ; 1154.5586 ; 51.75 ; 45.07
1425.0 ; 488.0 ; 5791.245 ; 11.00 ; 66.70
396.0 ; 48.0 ; 882.5029 ; 68.10 ; 62.30
689.0 ; 19.0 ; 662.2881 ; 63.69 ; 49.30
40.0 ; 5.0 ; 124.015625 ; 94.27 ; 65.53
2413.0 ; 455.0 ; 5535.584 ; 5.95 ; 61.77
314.0 ; 33.0 ; 1685.8643 ; 71.05 ; 69.32
526.0 ; 44.0 ; 1164.8857 ; 62.15 ; 62.71
1057.0 ; 119.0 ; 8198.755 ; 23.45 ; 71.55
365.0 ; 23.0 ; 212.32324 ; 78.05 ; 58.33
68.0 ; 3.0 ; 73.43848 ; 92.58 ; 51.77
291.0 ; 74.0 ; 2476.1396 ; 60.25 ; 71.61
5396.0 ; 236.0 ; 14007.73 ; 5.95 ; 64.97
1109.0 ; 142.0 ; 7550.712 ; 20.13 ; 70.36
93.0 ; 2.0 ; 85.62891 ; 91.48 ; 52.24
1103.0 ; 124.0 ; 2222.834 ; 26.81 ; 61.66
3915.0 ; 586.0 ; 7458.001 ; 5.04 ; 59.93
1486.0 ; 167.0 ; 1099.4805 ; 22.52 ; 53.18
132.0 ; 69.0 ; 14835.6455 ; 62.68 ; 72.15
77.0 ; 8.0 ; 1444.5918 ; 84.19 ; 71.45
781.0 ; 94.0 ; 350.5127 ; 46.75 ; 59.76
27.0 ; 3.0 ; 287.6709 ; 94.42 ; 70.86
671.0 ; 42.0 ; 932.42773 ; 58.47 ; 55.61
1061.0 ; 358.0 ; 5734.5576 ; 15.99 ; 68.81
907.0 ; 88.0 ; 1877.7773 ; 37.28 ; 61.93
27.0 ; 3.0 ; 287.125 ; 94.42 ; 70.86
570.0 ; 8.0 ; 108.83789 ; 72.36 ; 70.24
66.0 ; 2.0 ; 176.22949 ; 92.32 ; 63.83
5655.0 ; 529.0 ; 17423.156 ; 4.84 ; 65.85
156.0 ; 29.0 ; 680.0957 ; 82.42 ; 68.20
596.0 ; 121.0 ; 2415.8691 ; 39.88 ; 67.72
1219.0 ; 38.0 ; 1531.7266 ; 44.10 ; 54.12
2036.0 ; 112.0 ; 13748.206 ; 15.64 ; 69.19
1867.0 ; 41.0 ; 916.16504 ; 40.92 ; 62.08
2395.0 ; 627.0 ; 13282.865 ; 5.13 ; 69.18
2040.0 ; 809.0 ; 5903.797 ; 7.05 ; 62.95
1667.0 ; 38.0 ; 849.1465 ; 43.13 ; 61.32
