operateur;latitude;longitude;CP;ville;url;dom;req;size;EcoIndex;GreenHouseGaz;water;PageChargeeMoins5s;temps_en_secondes;Conso_totale_(MWh);Conso_moyenne_(MWh);Photovoltaique
SFR;48.76023;2.31288;92002;ANTONY;https://www.index-education.com/fr/;356;54;4810382;59.36;1.81;2.7;1.0;3.07;123490.33574975994;4.114561548321059;201.32801279188027
FREE;46.68187;-1.04778;85145;LA ROCHE-SUR-YON;https://www.spotify.com/fr/;82;37;7946607;71.75;1.56;2.3;1.0;2.1;3049.9677768536567;6.900379585641757;309.944
FREE;46.11088;-1.10363;17010;LA ROCHELLE;https://www.spotify.com/fr/;82;37;7946607;71.75;1.56;2.3;1.0;2.26;13920.05566151677;6.189442268348941;64.504
SFR;46.15941;-1.14658;17300;LA ROCHELLE;https://www.allocine.fr/;1597;30;2014387;40.28;2.19;3.2;1.0;3.25;174586.3200622886;3.279724978627303;4028.48056147116
SFR;47.21793;-1.55074;44109;NANTES;https://m.youtube.com/;417;31;22483620;60.50;1.79;2.6;1.0;1.83;529964.8367991232;2.8722668935679887;608.334
FREE;43.5953;1.44405;31555;TOULOUSE;https://www.service-public.fr/;529;127;1123481;46.55;2.07;3.1;1.0;3.03;909274.7598488132;3.048740837593172;26449.093
BOUYGUES TELECOM;47.56093;-1.0382;49008;SEGRÉ;https://www.adobe.com/fr/;748;237;17014170;23.59;2.53;3.7;1.0;3.46;2711.309260326268;7.172775820968963;1067.511
SFR;43.62384;6.75198;83133;DRAGUIGNAN;https://signup.live.com/?lic=1;518;14;654773;70.87;1.58;2.3;1.0;2.63;8062.698887406627;9.183028345565637;21.45737775207878
FREE;50.43914;3.05583;62497;LENS;https://www.spotify.com/fr/;82;37;7946742;71.75;1.56;2.3;1.0;1.96;13576.048222272546;4.43082513781741;0.0
ORANGE;43.35952;3.16897;34148;BÉZIERS;https://www.jeuxvideo.com/;3018;10;991750;43.82;2.12;3.1;0.0;10.02;14798.40757487358;6.3349347495178;281.3627034828193
ORANGE;47.90341;2.03682;45194;ORLÉANS;https://www.jeuxvideo.com/;3018;10;991695;43.82;2.12;3.1;1.0;4.49;9404.68567057532;7.049989258302338;79.289353937039
FREE;43.66575;7.18616;06123;GRASSE;https://www.allocine.fr/;1597;30;2014387;40.28;2.19;3.2;0.0;10.01;79904.2224192023;4.135401222399457;2487.758166666667
FREE;50.31401;3.35243;59361;VALENCIENNES;https://www.index-education.com/fr/;356;54;4810382;59.36;1.81;2.7;1.0;2.8;6409.233122695575;4.255798886252042;14.990940286531655
BOUYGUES TELECOM;43.41301;5.00095;13077;ISTRES;https://www.ubereats.com/fr;190;69;4552242;62.33;1.75;2.6;0.0;10.01;36050.11233469987;4.708124896787236;49.894
ORANGE;43.92709;4.79092;84007;AVIGNON;https://meteofrance.com/;1077;65;1880648;38.82;2.22;3.3;1.0;5.82;205232.8956445867;3.85921202791626;29082.5685
BOUYGUES TELECOM;43.62648;7.13229;06161;GRASSE;https://www.marmiton.org/recettes;1331;104;2052690;27.04;2.46;3.6;1.0;2.83;59795.18015822904;4.721293340562893;328.79975809160686
ORANGE;49.38096;1.10683;76575;ROUEN;https://signup.live.com/?lic=1;518;14;654801;70.87;1.58;2.3;1.0;2.21;43685.03680728974;3.6525950507767337;185.2387783219147
FREE;43.78179;1.4056;31581;TOULOUSE;https://clients.cdiscount.com/frequentlyaskedquestions.html;32;2;7342;95.77;1.08;1.6;0.0;10;5237.954163291984;7.714218208088342;47.98301635054163
ORANGE;44.17376;4.10913;30274;ALÈS;https://www.adobe.com/fr/;748;237;17014148;23.59;2.53;3.7;1.0;3.48;11242.620905162186;6.897313438749808;265.47977193143635
FREE;48.04476;-1.66706;35266;RENNES;https://www.bing.com/;242;6;114225;86.00;1.28;1.9;1.0;1.7;6484.671139876075;3.9979476817978266;99.797
BOUYGUES TELECOM;43.55019;6.97076;06069;GRASSE;https://www.marmiton.org/recettes;1331;104;2052690;27.04;2.46;3.6;0.0;10.01;141724.98138157022;5.337839681427074;888.0207016935751
BOUYGUES TELECOM;43.65298;6.92547;06069;GRASSE;https://www.bing.com/;242;6;115823;85.99;1.28;1.9;1.0;1.79;141724.98138157022;5.337839681427074;888.0207016935751
SFR;43.5849;3.80778;34134;MONTPELLIER;https://www.adobe.com/fr/;748;237;17014136;23.59;2.53;3.7;1.0;3.59;8991.298755345137;5.884357824178754;200.03749356194712
SFR;44.1866;1.15471;82051;CASTELSARRASIN;https://clients.cdiscount.com/frequentlyaskedquestions.html;32;2;7342;95.77;1.08;1.6;1.0;3.06;3216.3915673039687;8.397889209670938;71.32943326392004
BOUYGUES TELECOM;43.57254;1.47356;31555;TOULOUSE;https://www.adobe.com/fr/;748;237;17014232;23.59;2.53;3.7;1.0;3.18;909274.7598488132;3.048740837593172;26449.093
BOUYGUES TELECOM;47.96107;-3.82981;29241;QUIMPER;https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Accueil_principal;1783;369;340620;20.86;2.58;3.8;1.0;2.08;20825.227621563557;5.11299475118182;73.88685327600598
BOUYGUES TELECOM;48.76807;7.25701;57540;SARREBOURG-CHÂTEAU-SALINS;https://www.adobe.com/fr/;748;237;17013973;23.59;2.53;3.7;1.0;4.04;11012.18112478242;4.806713716622619;143.94621152124057
BOUYGUES TELECOM;47.28678;-2.21822;44184;SAINT-NAZAIRE;https://recherche.lefigaro.fr/recherche/;420;129;3164049;44.65;2.11;3.1;1.0;3.2;140330.2849901323;3.3108478232896608;829.2874101104319
