operateur,latitude,longitude,CP,ville,url,dom,size,requests,eco_index,GreenHouseGaz,water,PageChargeeMoins10s,temps_en_secondes,Conso totale (MWh),Conso moyenne (MWh),Photovoltaique,Eolien,Hydraulique,Bio energy,Cogeneration,Autres
BOUYGUES TELECOM , 47.8425 , 1.91621 ,45006, ORLÉANS , https://www.ubereats.com/fr ,628,127,9399780, 33.67 , 2.33 , 3.4 , 1.0 , 7.2 , 6048.326990688309 , 9.305118447212784 , 0.0, 0.0 , 0.0 , 0.0 , 0.0 , 0.0
ORANGE , 47.95425 , 1.89201 ,45302, ORLÉANS , https://www.instagram.com/accounts/login/ ,178,95,29040676, 55.95 , 1.88 , 2.82 , 1.0 , 4.42 , 33205.82879245754 , 4.659813190072628 , 202.4281508162772 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
ORANGE , 47.42255 , 2.05196 ,41249, ROMORANTIN-LANTHENAY , https://www.instagram.com/accounts/login/ ,178,95,29040190, 55.95 , 1.88 , 2.82 , 1.0 , 3.08 , 4927.959401108171 , 6.358657291752479 , 18.110331994915576 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
BOUYGUES TELECOM , 48.78448 , 2.25358 ,92060, ANTONY , https://www.messervices.etudiant.gouv.fr/envole/ ,698,74,940904, 50.18 , 2.00 , 2.99 , 1.0 , 2.36 , 54375.12944242348 , 3.9405123155608 , 24.09350946587303 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
BOUYGUES TELECOM , 46.09947 , -1.09215 ,17010, LA ROCHELLE , https://login.yahoo.com/ ,346,16,860326, 76.69 , 1.47 , 2.20 , 1.0 , 2.34 , 13920.05566151677 , 6.189442268348941 , 64.504 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
ORANGE , 46.47044 , -1.02718 ,85121, FONTENAY-LE-COMTE , https://www.allocine.fr/ ,1593,29,1921444, 40.78 , 2.18 , 3.28, 1.0 , 2.9 , 3651.1647229005457 , 6.799189428120197 , 151.0991898335209 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
ORANGE , 42.71066 , 2.88409 ,66136, PERPIGNAN , https://www.instagram.com/accounts/login/ ,178,95,29041638, 55.95 , 1.88 , 2.82 , 1.0 , 3.46 , 249164.689899692 , 3.4576912601780707 , 2704.200723216868 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
FREE , 42.71066 , 2.88409 ,66136, PERPIGNAN , https://www.jeuxvideo.com/ ,2961,10,974937, 43.90 , 2.12 , 3.18 , 1.0 , 5.25 , 249164.689899692 , 3.4576912601780707 , 2704.200723216868 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
ORANGE , 47.28475 , -1.55131 ,44201, NANTES , https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Accueil_principal ,1677,364,355418, 21.56 , 2.57 , 3.85 , 1.0 , 2.1 , 22694.704171610498 , 7.1254958152623225 , 115.771 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
FREE , 50.43486 , 3.05734 ,62497, LENS , https://www.allocine.fr/ ,1593,29,1921751, 40.78 , 2.18 , 3.28 , 1.0 , 2.68 , 13576.048222272546 , 4.43082513781741 , 0.0 , 0.0 , 0.0 , 429.376 , 0.0 , 0.0
